OBJECTID,FID_pak1k_gpo2_urban,ID,Pop,FID_pak_admbnda_adm1_wfp_20220909,Shape_Leng,ADM1_EN,ADM1_PCODE,ADM1_REF,ADM1ALT1EN,ADM1ALT2EN,ADM0_EN,ADM0_PCODE,date,validOn,validTo,Shape_Length,Shape_Area
109,99,4866,30795.4754,1,42.06246202,Balochistan,PK2, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.329964469,0.003582878
110,100,4881,4570.012721,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.207975095,0.000892208
111,101,4893,11564.55078,1,42.06246202,Balochistan,PK2, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.2,0.001458342
112,102,4908,10617.09961,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.333334,0.002013886
113,103,4930,50137.64844,1,42.06246202,Balochistan,PK2, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.516668,0.007013903
114,104,4940,110855.75,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.800002,0.009305553
115,105,4941,61437.58984,1,42.06246202,Balochistan,PK2, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.566664,0.0070833
116,106,4966,7690.280273,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.233334,0.001388894
117,107,4991,54329.45703,1,42.06246202,Balochistan,PK2, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.500002,0.004930553
118,108,5001,87149.9375,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.85,0.009444439
119,109,5008,45295.23828,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.63333,0.005972228
120,110,5049,9094.771484,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.183332,0.001388886
121,111,5083,32076.25,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.233334,0.002152781
122,112,5185,11229.32617,1,42.06246202,Balochistan,PK2, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.249998,0.001388861
