OBJECTID,FID_pak1k_gpo2_hd_urban,group_,ID,Pop,FID_pak_admbnda_adm1_wfp_20220909,Shape_Leng,ADM1_EN,ADM1_PCODE,ADM1_REF,ADM1ALT1EN,ADM1ALT2EN,ADM0_EN,ADM0_PCODE,date,validOn,validTo,Shape_Length,Shape_Area
95,92,91,1572,61729.28906,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.183334,0.001388903
96,93,92,1573,132026.7813,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.266666,0.002500025
97,94,93,1574,68576.21875,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.166668,0.001319456
98,95,94,1575,95135.35156,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.25,0.002222219
99,96,95,1576,607174.6875,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.5,0.008611097
100,97,96,1577,112986.4609,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.25,0.002500017
101,98,97,1578,55890.66406,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.216666,0.001597219
102,99,98,1579,186973.4219,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.333332,0.003194464
103,100,99,1580,68530.125,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.199998,0.00166665
104,101,100,1581,179113.5937,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.25,0.002847219
105,102,101,1582,12326.29824,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.061038073,0.000230741
106,102,101,1582,65578.43614,6,30.29688721,Sindh,PK7, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.202275137,0.001227592
107,103,102,1583,450535.25,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.65,0.008263853
108,104,103,1584,167046.1875,6,30.29688721,Sindh,PK7, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.333332,0.003611139
109,105,104,1585,342096.8438,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.633332,0.007986106
110,106,105,1586,67534.0625,6,30.29688721,Sindh,PK7, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.216666,0.001458358
111,107,106,1587,57194.34375,6,30.29688721,Sindh,PK7, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.2,0.001666675
112,108,107,1588,61278.10156,6,30.29688721,Sindh,PK7, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.216666,0.001388919
113,109,108,1589,91579.79687,6,30.29688721,Sindh,PK7, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.233334,0.001736106
114,110,109,1590,191303.8594,6,30.29688721,Sindh,PK7, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.26667,0.002569439
115,111,110,1591,89945.21875,6,30.29688721,Sindh,PK7, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.183334,0.001666692
116,112,111,1592,52943.71094,6,30.29688721,Sindh,PK7, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.15,0.001111114
117,113,112,1593,53637.625,6,30.29688721,Sindh,PK7, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.149998,0.001041658
118,114,113,1594,572373,6,30.29688721,Sindh,PK7, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.749998,0.009722211
119,115,114,1595,76040.0625,6,30.29688721,Sindh,PK7, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.166668,0.001180561
